County,Cumulative Deaths by End of Month,New Deaths During Month,Cumulative Confirmed Cases by End of Month,New Confirmed Cases During Month,Month,Year,Latitude,Longitude,Median Income,Income per Capita,Number of Poeple in Poverty,Median Age,Total Population,Total White Population,Total Black Population,Total American Indian Population,Total Asian Poulation,Total Population Identifying as 2+ Races,Total Hispanic Population,Total Pop Using Public Transit,Land Area (mi^2),Population Density (persons/mi^2),New Cases/ 100k People,New Deaths/ 100k People
Kern,877,253,103422,9309,Feb,2021,35.34,-118.73,54851.0,23855.0,175902.0,31.9,892458.0,603368.0,48530.0,8462.0,43381.0,75215.0,480700.0,2266.0,8132,109.74643384161338,1043.074295933254,28.348672990773792
Kings,217,45,22951,1378,Feb,2021,36.07,-119.82,61556.0,22919.0,21908.0,32.0,151090.0,95764.0,9820.0,2232.0,5626.0,13228.0,82954.0,149.0,1389,108.77609791216703,912.0391819445364,29.78357270501026
Lake,40,7,3170,343,Feb,2021,39.1,-122.75,49254.0,29714.0,11057.0,45.3,64276.0,48712.0,1583.0,2540.0,940.0,3234.0,13667.0,160.0,1256,51.17515923566879,533.636193913747,10.890534569668306
Lassen,18,2,5220,177,Feb,2021,40.67,-120.59,56971.0,20928.0,2769.0,36.8,30600.0,24181.0,2713.0,794.0,471.0,1345.0,5893.0,26.0,4541,6.73860383175512,578.4313725490196,6.535947712418301
Los Angeles,21467,4697,1192954,76006,Feb,2021,34.31,-118.23,71358.0,35685.0,1401656.0,36.7,10040682.0,4795186.0,810286.0,78132.0,1488626.0,729532.0,4851344.0,257977.0,4058,2474.293247905372,756.9804521246664,46.77969086163669
Madera,194,100,16326,1113,Feb,2021,37.22,-119.77,61924.0,23212.0,28062.0,34.1,155925.0,94643.0,4919.0,2503.0,3362.0,11853.0,90958.0,224.0,2137,72.96443612540945,713.8047138047137,64.1333974667308
Marin,214,29,13322,886,Feb,2021,38.07,-122.72,121671.0,74446.0,17522.0,47.1,259441.0,199068.0,6001.0,673.0,15060.0,17433.0,41737.0,10060.0,520,498.925,341.5034632151433,11.177878592820718
Mariposa,7,2,395,28,Feb,2021,37.58,-119.91,50960.0,29882.0,2668.0,51.8,17319.0,15134.0,266.0,392.0,186.0,765.0,2041.0,99.0,1449,11.952380952380953,161.67215197182284,11.548010855130203
Mendocino,41,4,3633,388,Feb,2021,39.44,-123.39,52915.0,30351.0,13929.0,43.4,87110.0,69709.0,424.0,3789.0,1740.0,6565.0,22354.0,67.0,3506,24.845978322875073,445.41384456434395,4.591895304787051
Merced,385,48,29496,2512,Feb,2021,37.19,-120.72,56330.0,23677.0,50124.0,31.2,273661.0,139469.0,8190.0,2885.0,20881.0,16931.0,164836.0,948.0,1935,141.42687338501293,917.9240008623808,17.5399490610646
Modoc,3,2,445,42,Feb,2021,41.59,-120.72,51250.0,25578.0,1537.0,47.6,8853.0,7801.0,123.0,313.0,169.0,201.0,1317.0,0.0,3915,2.261302681992337,474.4154523890207,22.591212018524793
Mono,3,0,1208,46,Feb,2021,37.94,-118.89,64924.0,37103.0,1720.0,39.5,14395.0,11966.0,81.0,407.0,633.0,641.0,3893.0,1286.0,3049,4.7212200721548045,319.55540118096565,0.0
Monterey,324,46,43364,2939,Feb,2021,36.22,-121.24,76943.0,32122.0,50052.0,34.7,432977.0,209849.0,11162.0,3072.0,25186.0,29647.0,255512.0,2438.0,3281,131.96494971045414,678.7889425997224,10.624120911734341
Napa,70,18,9086,652,Feb,2021,38.51,-122.33,92219.0,46912.0,10163.0,41.8,138572.0,98614.0,2862.0,961.0,10485.0,9742.0,47300.0,940.0,748,185.2566844919786,470.51352365557256,12.989637156135439
Nevada,66,46,4139,478,Feb,2021,39.3,-120.76,68333.0,41079.0,9345.0,50.5,99417.0,91597.0,410.0,496.0,1108.0,4484.0,9480.0,81.0,958,103.77557411273486,480.80308196787274,46.26975265799612
Orange,3921,859,261408,15430,Feb,2021,33.7,-117.76,94441.0,43049.0,317682.0,38.3,3170345.0,1826960.0,54061.0,15552.0,667534.0,217089.0,1071393.0,27645.0,791,4008.0214917825538,486.697819953349,27.09484299027393
Placer,239,35,20914,1425,Feb,2021,39.06,-120.72,93677.0,46023.0,27745.0,42.2,391799.0,314938.0,6310.0,2204.0,31938.0,24914.0,55932.0,1830.0,1407,278.4641080312722,363.70690073226325,8.933151947809973
Plumas,4,2,638,74,Feb,2021,40,-120.84,57233.0,34334.0,2310.0,51.9,18844.0,16679.0,279.0,350.0,232.0,941.0,1749.0,60.0,2553,7.381120250685468,392.69794098917424,10.613457864572277
Riverside,3680,606,292609,13733,Feb,2021,33.74,-115.99,70732.0,29913.0,300424.0,35.8,2437864.0,1358654.0,157908.0,18852.0,164464.0,190963.0,1204521.0,10987.0,7206,338.31029697474327,563.3210056016251,24.85782635946878
Sacramento,1401,215,94800,7173,Feb,2021,38.45,-121.34,70684.0,34078.0,210174.0,36.4,1537948.0,839349.0,148884.0,9505.0,256464.0,140768.0,360204.0,15579.0,965,1593.7284974093263,466.40068454850234,13.979666412648541
San Benito,57,9,5859,366,Feb,2021,36.6,-121.07,85808.0,33841.0,5709.0,35.7,61547.0,45157.0,523.0,527.0,1745.0,7315.0,37015.0,171.0,1389,44.31029517638589,594.6674898857783,14.622971062765043
San Bernardino,3603,1447,290191,12572,Feb,2021,34.84,-116.18,65761.0,26402.0,315656.0,33.6,2162532.0,1212480.0,176523.0,18369.0,159917.0,202057.0,1163038.0,11534.0,20057,107.8193149523857,581.3555591316106,66.91230465028957
San Diego,3303,684,273554,23765,Feb,2021,33.03,-116.74,82426.0,39737.0,353841.0,36.1,3323970.0,2213608.0,164042.0,24373.0,398526.0,286106.0,1126266.0,42978.0,4207,790.1045875921084,714.9583179150233,20.57780304876398
San Francisco,424,101,35382,2947,Feb,2021,37.75,-122.44,119136.0,72041.0,87125.0,38.3,874784.0,392476.0,44930.0,3800.0,300339.0,62702.0,132865.0,161085.0,47,18612.425531914894,336.8831620148517,11.545707283169332
San Joaquin,1097,220,68429,4577,Feb,2021,37.93,-121.27,68628.0,28928.0,100689.0,34.4,751615.0,387165.0,53116.0,4695.0,119446.0,106196.0,313385.0,5006.0,1391,540.3414809489576,608.9553827424945,29.270304610738208
San Luis Obispo,239,40,19983,1895,Feb,2021,35.39,-120.4,77948.0,38686.0,29547.0,39.5,282517.0,233297.0,4865.0,2383.0,10559.0,18720.0,64275.0,1274.0,3301,85.58527718873069,670.7560960933324,14.158440023078256
San Mateo,314,95,39501,3483,Feb,2021,37.42,-122.33,128091.0,64450.0,46923.0,39.8,765623.0,369924.0,18104.0,3917.0,225027.0,57690.0,184490.0,41094.0,448,1708.9799107142858,454.9236373515425,12.408195678551976
Santa Barbara,413,116,32939,3478,Feb,2021,34.65,-120.02,78925.0,38141.0,54621.0,33.8,444895.0,319547.0,8474.0,4941.0,24678.0,43286.0,203207.0,6141.0,2735,162.6672760511883,781.7574933411254,26.07356792052057
Santa Clara,1704,374,111260,8810,Feb,2021,37.23,-121.7,130890.0,59297.0,135771.0,37.2,1924379.0,801381.0,47379.0,9990.0,724855.0,143857.0,482101.0,39110.0,1290,1491.7666666666667,457.8100259876043,19.434841057816573
Santa Cruz,185,36,15346,1193,Feb,2021,37.06,-122.01,89986.0,44278.0,31120.0,38.2,273170.0,195781.0,3472.0,1708.0,13563.0,19184.0,91876.0,2971.0,445,613.8651685393259,436.7243840831717,13.178606728410879
Shasta,149,37,12221,820,Feb,2021,40.76,-122.04,57139.0,31049.0,26504.0,41.7,179267.0,152586.0,1912.0,4420.0,5772.0,10371.0,18566.0,410.0,3775,47.48794701986755,457.4182643766003,20.63960461211489
Sierra,0,0,60,5,Feb,2021,39.58,-120.52,52103.0,32533.0,271.0,54.0,2898.0,2722.0,3.0,69.0,0.0,16.0,293.0,4.0,953,3.0409233997901364,172.5327812284334,0.0
Siskiyou,5,1,1639,207,Feb,2021,41.59,-122.54,47403.0,29381.0,7294.0,47.7,43516.0,36195.0,668.0,1686.0,547.0,3434.0,5605.0,36.0,6278,6.931506849315069,475.6871035940803,2.298005331372369
Solano,166,48,30119,2142,Feb,2021,38.27,-121.94,84638.0,36685.0,39388.0,38.3,444538.0,225258.0,60991.0,2531.0,69169.0,41339.0,119294.0,5671.0,822,540.8004866180048,481.84857087583066,10.797727078449986
Sonoma,278,35,28438,2373,Feb,2021,38.53,-122.89,86173.0,44071.0,43086.0,42.4,496801.0,360200.0,8266.0,4441.0,21239.0,34952.0,134024.0,3926.0,1576,315.2290609137056,477.6560433654522,7.045074385921124
Stanislaus,890,89,55685,4820,Feb,2021,37.56,-121,62873.0,27225.0,73072.0,34.3,546235.0,384703.0,16961.0,4738.0,32003.0,47592.0,256424.0,1692.0,1495,365.3745819397993,882.4040934762511,16.293353593233682
Sutter,99,10,8904,539,Feb,2021,39.03,-121.69,63502.0,29495.0,12460.0,35.8,96315.0,61307.0,1894.0,1061.0,15997.0,9518.0,30101.0,404.0,602,159.99169435215947,559.6220734049732,10.382598764470748
Tehama,32,11,5080,365,Feb,2021,40.13,-122.24,48895.0,29012.0,11922.0,40.6,64176.0,53987.0,420.0,865.0,1090.0,4452.0,16435.0,89.0,2950,21.75457627118644,568.748441785091,17.140363999002744
Trinity,3,0,374,51,Feb,2021,40.65,-123.11,41780.0,26228.0,2860.0,52.4,12541.0,10694.0,65.0,722.0,244.0,332.0,933.0,61.0,3179,3.9449512425290973,406.6661350769476,0.0
Tulare,781,163,55239,4053,Feb,2021,36.22,-118.8,52534.0,22092.0,99610.0,31.2,463955.0,309798.0,7606.0,5955.0,17310.0,37160.0,301919.0,1120.0,4824,96.1764096185738,873.5761011304976,35.13271761269951
Tuolumne,53,14,3943,390,Feb,2021,38.03,-119.95,60509.0,35694.0,5564.0,48.7,54147.0,46905.0,1007.0,948.0,753.0,2789.0,6810.0,91.0,2221,24.379558757316524,720.2615103329824,25.8555413965686
Ventura,775,273,80604,7439,Feb,2021,34.44,-119.09,89295.0,39403.0,74449.0,38.5,845599.0,637686.0,15422.0,6990.0,61239.0,71894.0,361648.0,3998.0,1843,458.8166033640803,879.7314093323196,32.28480639168211
Yolo,188,37,13003,1097,Feb,2021,38.68,-121.9,73746.0,36036.0,39197.0,31.1,218774.0,145299.0,5694.0,1420.0,31584.0,21326.0,69341.0,4097.0,1015,215.54088669950738,501.43070017460946,16.912430179088922
Yuba,41,8,5552,408,Feb,2021,39.26,-121.35,59424.0,25774.0,11420.0,33.0,77524.0,56990.0,2632.0,1030.0,5631.0,7561.0,22318.0,175.0,632,122.66455696202532,526.2886331974614,10.319384964656106
Alameda,1216,111,85347,2921,Mar,2021,37.65,-121.89,104888.0,49883.0,152060.0,37.8,1661584.0,631037.0,171922.0,11037.0,519249.0,130496.0,369546.0,114029.0,739,2248.4221921515564,175.79610781037854,6.6803724638658055
Alpine,0,0,88,7,Mar,2021,38.6,-119.82,85750.0,37690.0,139.0,47.6,1159.0,663.0,10.0,360.0,6.0,111.0,183.0,4.0,738,1.570460704607046,603.9689387402933,0.0
Amador,45,3,3589,94,Mar,2021,38.45,-120.66,65187.0,33897.0,2872.0,49.9,39023.0,33040.0,931.0,276.0,375.0,2834.0,5591.0,35.0,595,65.58487394957983,240.88358147759016,7.687773876944367
Butte,193,13,13023,419,Mar,2021,39.67,-121.6,54972.0,30700.0,39676.0,36.9,223344.0,178568.0,3866.0,2628.0,10743.0,15608.0,37585.0,1010.0,1636,136.51833740831296,187.60298015617164,5.820617522745183
Calaveras,50,4,2017,125,Mar,2021,38.21,-120.55,67054.0,33027.0,5177.0,52.8,45828.0,40058.0,450.0,518.0,864.0,2912.0,5710.0,142.0,1020,44.92941176470588,272.7590119577551,8.728288382648163
Colusa,14,3,2163,29,Mar,2021,39.18,-122.23,59427.0,27614.0,2540.0,35.4,21491.0,17012.0,330.0,239.0,201.0,2308.0,12840.0,13.0,1151,18.671589921807126,134.94020752873294,13.9593318133172
Contra Costa,771,77,66303,2859,Mar,2021,37.92,-121.93,103997.0,50118.0,93021.0,39.9,1147788.0,608789.0,98569.0,5191.0,200159.0,104757.0,295791.0,56093.0,723,1587.5352697095436,249.08781064098946,6.708555935416644
Del Norte,6,1,1149,163,Mar,2021,41.74,-123.9,49981.0,24361.0,4223.0,40.0,27692.0,20002.0,747.0,1943.0,880.0,2160.0,5552.0,31.0,1006,27.526838966202785,588.6176513072368,3.6111512350137223
El Dorado,106,8,10026,338,Mar,2021,38.78,-120.52,83710.0,44651.0,16018.0,46.3,190345.0,164552.0,1586.0,1312.0,9111.0,8659.0,24773.0,926.0,1708,111.44320843091334,177.57230292363866,4.2028947437547615
Fresno,1616,211,107529,4328,Mar,2021,36.76,-119.65,57109.0,25757.0,202296.0,32.4,990204.0,597574.0,46182.0,11604.0,105302.0,84357.0,528293.0,3740.0,5959,166.16949152542372,437.08165186163654,21.30874042116574
Glenn,17,2,2849,129,Mar,2021,39.6,-122.39,51682.0,23715.0,4201.0,35.9,28060.0,22478.0,218.0,631.0,877.0,886.0,11828.0,24.0,1314,21.354642313546425,459.7291518175338,7.127583749109053
Humboldt,35,5,3488,288,Mar,2021,40.7,-123.88,49235.0,29584.0,26210.0,38.9,136101.0,107151.0,1558.0,6162.0,3948.0,10757.0,16228.0,996.0,3568,38.14489910313901,211.60755615315094,3.6737422943255376
Imperial,710,74,30059,708,Mar,2021,33.04,-115.37,46222.0,18064.0,38408.0,32.5,180580.0,102305.0,4716.0,2111.0,2599.0,19433.0,152880.0,435.0,4177,43.23198467799856,392.06999667737296,40.97906744932994
Inyo,36,1,1384,93,Mar,2021,36.51,-117.41,59296.0,33404.0,1745.0,45.3,17930.0,13705.0,96.0,1924.0,279.0,1398.0,4115.0,60.0,10181,1.761123661722817,518.6837702175126,5.577244841048523
Kern,1264,413,106288,2993,Mar,2021,35.34,-118.73,54851.0,23855.0,175902.0,31.9,892458.0,603368.0,48530.0,8462.0,43381.0,75215.0,480700.0,2266.0,8132,109.74643384161338,335.3659219817627,46.27668753039359
Kings,239,22,23578,649,Mar,2021,36.07,-119.82,61556.0,22919.0,21908.0,32.0,151090.0,95764.0,9820.0,2232.0,5626.0,13228.0,82954.0,149.0,1389,108.77609791216703,429.54530412337016,14.560857766893903
Lake,43,3,3345,175,Mar,2021,39.1,-122.75,49254.0,29714.0,11057.0,45.3,64276.0,48712.0,1583.0,2540.0,940.0,3234.0,13667.0,160.0,1256,51.17515923566879,272.2633642417076,4.667371958429274
Lassen,18,0,5249,30,Mar,2021,40.67,-120.59,56971.0,20928.0,2769.0,36.8,30600.0,24181.0,2713.0,794.0,471.0,1345.0,5893.0,26.0,4541,6.73860383175512,98.0392156862745,0.0
Los Angeles,23191,1756,1220256,28333,Mar,2021,34.31,-118.23,71358.0,35685.0,1401656.0,36.7,10040682.0,4795186.0,810286.0,78132.0,1488626.0,729532.0,4851344.0,257977.0,4058,2474.293247905372,282.18202707744354,17.488851852892065
Madera,230,31,16906,592,Mar,2021,37.22,-119.77,61924.0,23212.0,28062.0,34.1,155925.0,94643.0,4919.0,2503.0,3362.0,11853.0,90958.0,224.0,2137,72.96443612540945,379.66971300304635,19.88135321468655
Marin,221,7,13848,537,Mar,2021,38.07,-122.72,121671.0,74446.0,17522.0,47.1,259441.0,199068.0,6001.0,673.0,15060.0,17433.0,41737.0,10060.0,520,498.925,206.9834760118871,2.6981086258532767
Mariposa,7,0,410,15,Mar,2021,37.58,-119.91,50960.0,29882.0,2668.0,51.8,17319.0,15134.0,266.0,392.0,186.0,765.0,2041.0,99.0,1449,11.952380952380953,86.61008141347654,0.0
Mendocino,45,4,3754,124,Mar,2021,39.44,-123.39,52915.0,30351.0,13929.0,43.4,87110.0,69709.0,424.0,3789.0,1740.0,6565.0,22354.0,67.0,3506,24.845978322875073,142.34875444839858,4.591895304787051
Merced,425,41,30795,1329,Mar,2021,37.19,-120.72,56330.0,23677.0,50124.0,31.2,273661.0,139469.0,8190.0,2885.0,20881.0,16931.0,164836.0,948.0,1935,141.42687338501293,485.6373396282262,14.982039822992682
Modoc,3,0,464,19,Mar,2021,41.59,-120.72,51250.0,25578.0,1537.0,47.6,8853.0,7801.0,123.0,313.0,169.0,201.0,1317.0,0.0,3915,2.261302681992337,214.61651417598554,0.0
Mono,3,0,1262,54,Mar,2021,37.94,-118.89,64924.0,37103.0,1720.0,39.5,14395.0,11966.0,81.0,407.0,633.0,641.0,3893.0,1286.0,3049,4.7212200721548045,375.13025356026395,0.0
Monterey,339,16,44074,726,Mar,2021,36.22,-121.24,76943.0,32122.0,50052.0,34.7,432977.0,209849.0,11162.0,3072.0,25186.0,29647.0,255512.0,2438.0,3281,131.96494971045414,167.6763430851985,3.6953464040815103
Napa,78,8,9440,357,Mar,2021,38.51,-122.33,92219.0,46912.0,10163.0,41.8,138572.0,98614.0,2862.0,961.0,10485.0,9742.0,47300.0,940.0,748,185.2566844919786,257.6278035966862,5.773172069393528
Nevada,68,2,4467,335,Mar,2021,39.3,-120.76,68333.0,41079.0,9345.0,50.5,99417.0,91597.0,410.0,496.0,1108.0,4484.0,9480.0,81.0,958,103.77557411273486,336.96450305279785,2.011728376434614
Orange,4755,838,266353,5133,Mar,2021,33.7,-117.76,94441.0,43049.0,317682.0,38.3,3170345.0,1826960.0,54061.0,15552.0,667534.0,217089.0,1071393.0,27645.0,791,4008.0214917825538,161.906669463418,26.432454512048373
Placer,274,35,22165,1281,Mar,2021,39.06,-120.72,93677.0,46023.0,27745.0,42.2,391799.0,314938.0,6310.0,2204.0,31938.0,24914.0,55932.0,1830.0,1407,278.4641080312722,326.9533612898451,8.933151947809973
Plumas,4,0,674,36,Mar,2021,40,-120.84,57233.0,34334.0,2310.0,51.9,18844.0,16679.0,279.0,350.0,232.0,941.0,1749.0,60.0,2553,7.381120250685468,191.042241562301,0.0
Riverside,4193,532,296665,4176,Mar,2021,33.74,-115.99,70732.0,29913.0,300424.0,35.8,2437864.0,1358654.0,157908.0,18852.0,164464.0,190963.0,1204521.0,10987.0,7206,338.31029697474327,171.29749649693338,21.822382216563355
Sacramento,1521,123,99365,4653,Mar,2021,38.45,-121.34,70684.0,34078.0,210174.0,36.4,1537948.0,839349.0,148884.0,9505.0,256464.0,140768.0,360204.0,15579.0,965,1593.7284974093263,302.5459898514124,7.997669622119863
San Benito,61,4,5969,110,Mar,2021,36.6,-121.07,85808.0,33841.0,5709.0,35.7,61547.0,45157.0,523.0,527.0,1745.0,7315.0,37015.0,171.0,1389,44.31029517638589,178.72520187823937,6.499098250117796
San Bernardino,4404,809,294786,4672,Mar,2021,34.84,-116.18,65761.0,26402.0,315656.0,33.6,2162532.0,1212480.0,176523.0,18369.0,159917.0,202057.0,1163038.0,11534.0,20057,107.8193149523857,216.04304583700957,37.40985104497876
San Diego,3555,271,284145,10894,Mar,2021,33.03,-116.74,82426.0,39737.0,353841.0,36.1,3323970.0,2213608.0,164042.0,24373.0,398526.0,286106.0,1126266.0,42978.0,4207,790.1045875921084,327.74062341116195,8.152901500314382
San Francisco,488,71,36570,1221,Mar,2021,37.75,-122.44,119136.0,72041.0,87125.0,38.3,874784.0,392476.0,44930.0,3800.0,300339.0,62702.0,132865.0,161085.0,47,18612.425531914894,139.5773127995025,8.11628927826755
San Joaquin,1262,165,71945,3562,Mar,2021,37.93,-121.27,68628.0,28928.0,100689.0,34.4,751615.0,387165.0,53116.0,4695.0,119446.0,106196.0,313385.0,5006.0,1391,540.3414809489576,473.9128410156796,21.95272845805366
San Luis Obispo,252,15,20854,880,Mar,2021,35.39,-120.4,77948.0,38686.0,29547.0,39.5,282517.0,233297.0,4865.0,2383.0,10559.0,18720.0,64275.0,1274.0,3301,85.58527718873069,311.48568050772167,5.309415008654346
San Mateo,350,36,40881,1418,Mar,2021,37.42,-122.33,128091.0,64450.0,46923.0,39.8,765623.0,369924.0,18104.0,3917.0,225027.0,57690.0,184490.0,41094.0,448,1708.9799107142858,185.2086470756495,4.702053099240748
Santa Barbara,443,30,34170,1263,Mar,2021,34.65,-120.02,78925.0,38141.0,54621.0,33.8,444895.0,319547.0,8474.0,4941.0,24678.0,43286.0,203207.0,6141.0,2735,162.6672760511883,283.88720934153,6.74316411737601
Santa Clara,1874,170,115250,4121,Mar,2021,37.23,-121.7,130890.0,59297.0,135771.0,37.2,1924379.0,801381.0,47379.0,9990.0,724855.0,143857.0,482101.0,39110.0,1290,1491.7666666666667,214.14700534562058,8.834018662643896
Santa Cruz,202,17,16060,721,Mar,2021,37.06,-122.01,89986.0,44278.0,31120.0,38.2,273170.0,195781.0,3472.0,1708.0,13563.0,19184.0,91876.0,2971.0,445,613.8651685393259,263.9382069773401,6.223230955082915
Shasta,181,32,12714,497,Mar,2021,40.76,-122.04,57139.0,31049.0,26504.0,41.7,179267.0,152586.0,1912.0,4420.0,5772.0,10371.0,18566.0,410.0,3775,47.48794701986755,277.24009438435405,17.850468853720987
Sierra,0,0,62,2,Mar,2021,39.58,-120.52,52103.0,32533.0,271.0,54.0,2898.0,2722.0,3.0,69.0,0.0,16.0,293.0,4.0,953,3.0409233997901364,69.01311249137336,0.0
Siskiyou,7,2,1761,122,Mar,2021,41.59,-122.54,47403.0,29381.0,7294.0,47.7,43516.0,36195.0,668.0,1686.0,547.0,3434.0,5605.0,36.0,6278,6.931506849315069,280.356650427429,4.596010662744738
Solano,237,71,31238,1146,Mar,2021,38.27,-121.94,84638.0,36685.0,39388.0,38.3,444538.0,225258.0,60991.0,2531.0,69169.0,41339.0,119294.0,5671.0,822,540.8004866180048,257.7957339979934,15.971637970207272
Sonoma,311,32,29512,1104,Mar,2021,38.53,-122.89,86173.0,44071.0,43086.0,42.4,496801.0,360200.0,8266.0,4441.0,21239.0,34952.0,134024.0,3926.0,1576,315.2290609137056,222.221774915912,6.441210867127884
Stanislaus,941,52,58464,2857,Mar,2021,37.56,-121,62873.0,27225.0,73072.0,34.3,546235.0,384703.0,16961.0,4738.0,32003.0,47592.0,256424.0,1692.0,1495,365.3745819397993,523.03495748167,9.519712211776982
Sutter,106,7,9185,281,Mar,2021,39.03,-121.69,63502.0,29495.0,12460.0,35.8,96315.0,61307.0,1894.0,1061.0,15997.0,9518.0,30101.0,404.0,602,159.99169435215947,291.751025281628,7.267819135129523
Tehama,52,20,5274,199,Mar,2021,40.13,-122.24,48895.0,29012.0,11922.0,40.6,64176.0,53987.0,420.0,865.0,1090.0,4452.0,16435.0,89.0,2950,21.75457627118644,310.08476689104964,31.164298180004984
Trinity,3,0,400,26,Mar,2021,40.65,-123.11,41780.0,26228.0,2860.0,52.4,12541.0,10694.0,65.0,722.0,244.0,332.0,933.0,61.0,3179,3.9449512425290973,207.31999043138507,0.0
Tulare,817,37,56754,1563,Mar,2021,36.22,-118.8,52534.0,22092.0,99610.0,31.2,463955.0,309798.0,7606.0,5955.0,17310.0,37160.0,301919.0,1120.0,4824,96.1764096185738,336.88612042116154,7.974911359937925
Tuolumne,57,4,4018,77,Mar,2021,38.03,-119.95,60509.0,35694.0,5564.0,48.7,54147.0,46905.0,1007.0,948.0,753.0,2789.0,6810.0,91.0,2221,24.379558757316524,142.2054776811273,7.387297541876743
Ventura,977,202,82222,1721,Mar,2021,34.44,-119.09,89295.0,39403.0,74449.0,38.5,845599.0,637686.0,15422.0,6990.0,61239.0,71894.0,361648.0,3998.0,1843,458.8166033640803,203.5243655680766,23.88839154256332
Yolo,197,9,13514,514,Mar,2021,38.68,-121.9,73746.0,36036.0,39197.0,31.1,218774.0,145299.0,5694.0,1420.0,31584.0,21326.0,69341.0,4097.0,1015,215.54088669950738,234.94565167707316,4.113834367886494
Yuba,44,3,5804,257,Mar,2021,39.26,-121.35,59424.0,25774.0,11420.0,33.0,77524.0,56990.0,2632.0,1030.0,5631.0,7561.0,22318.0,175.0,632,122.66455696202532,331.5102419895774,3.8697693617460396
Alameda,1270,55,88573,3330,Apr,2021,37.65,-121.89,104888.0,49883.0,152060.0,37.8,1661584.0,631037.0,171922.0,11037.0,519249.0,130496.0,369546.0,114029.0,739,2248.4221921515564,200.41117391597416,3.3100944640776517
Alpine,0,0,88,0,Apr,2021,38.6,-119.82,85750.0,37690.0,139.0,47.6,1159.0,663.0,10.0,360.0,6.0,111.0,183.0,4.0,738,1.570460704607046,0.0,0.0
Amador,46,1,3682,95,Apr,2021,38.45,-120.66,65187.0,33897.0,2872.0,49.9,39023.0,33040.0,931.0,276.0,375.0,2834.0,5591.0,35.0,595,65.58487394957983,243.44617276990493,2.5625912923147887
Butte,198,5,13629,616,Apr,2021,39.67,-121.6,54972.0,30700.0,39676.0,36.9,223344.0,178568.0,3866.0,2628.0,10743.0,15608.0,37585.0,1010.0,1636,136.51833740831296,275.80772261623326,2.2386990472096855
Calaveras,50,0,2109,93,Apr,2021,38.21,-120.55,67054.0,33027.0,5177.0,52.8,45828.0,40058.0,450.0,518.0,864.0,2912.0,5710.0,142.0,1020,44.92941176470588,202.9327048965698,0.0
Colusa,14,0,2223,60,Apr,2021,39.18,-122.23,59427.0,27614.0,2540.0,35.4,21491.0,17012.0,330.0,239.0,201.0,2308.0,12840.0,13.0,1151,18.671589921807126,279.18663626634407,0.0
Contra Costa,800,31,68988,2753,Apr,2021,37.92,-121.93,103997.0,50118.0,93021.0,39.9,1147788.0,608789.0,98569.0,5191.0,200159.0,104757.0,295791.0,56093.0,723,1587.5352697095436,239.8526557169094,2.7008471947781296
Del Norte,6,0,1303,163,Apr,2021,41.74,-123.9,49981.0,24361.0,4223.0,40.0,27692.0,20002.0,747.0,1943.0,880.0,2160.0,5552.0,31.0,1006,27.526838966202785,588.6176513072368,0.0
El Dorado,110,4,10658,635,Apr,2021,38.78,-120.52,83710.0,44651.0,16018.0,46.3,190345.0,164552.0,1586.0,1312.0,9111.0,8659.0,24773.0,926.0,1708,111.44320843091334,333.6047702855342,2.1014473718773807
Fresno,1678,62,109804,2368,Apr,2021,36.76,-119.65,57109.0,25757.0,202296.0,32.4,990204.0,597574.0,46182.0,11604.0,105302.0,84357.0,528293.0,3740.0,5959,166.16949152542372,239.14264131431503,6.261336047925478
Glenn,17,0,2904,61,Apr,2021,39.6,-122.39,51682.0,23715.0,4201.0,35.9,28060.0,22478.0,218.0,631.0,877.0,886.0,11828.0,24.0,1314,21.354642313546425,217.3913043478261,0.0
Humboldt,36,1,3875,391,Apr,2021,40.7,-123.88,49235.0,29584.0,26210.0,38.9,136101.0,107151.0,1558.0,6162.0,3948.0,10757.0,16228.0,996.0,3568,38.14489910313901,287.28664741625704,0.7347484588651075
Imperial,721,11,30892,848,Apr,2021,33.04,-115.37,46222.0,18064.0,38408.0,32.5,180580.0,102305.0,4716.0,2111.0,2599.0,19433.0,152880.0,435.0,4177,43.23198467799856,469.5979621220512,6.091482999224721
Inyo,36,1,1408,26,Apr,2021,36.51,-117.41,59296.0,33404.0,1745.0,45.3,17930.0,13705.0,96.0,1924.0,279.0,1398.0,4115.0,60.0,10181,1.761123661722817,145.00836586726157,5.577244841048523
Kern,1354,101,108598,2359,Apr,2021,35.34,-118.73,54851.0,23855.0,175902.0,31.9,892458.0,603368.0,48530.0,8462.0,43381.0,75215.0,480700.0,2266.0,8132,109.74643384161338,264.3261643685193,11.317059178134993
Kings,246,7,23855,297,Apr,2021,36.07,-119.82,61556.0,22919.0,21908.0,32.0,151090.0,95764.0,9820.0,2232.0,5626.0,13228.0,82954.0,149.0,1389,108.77609791216703,196.5715798530677,4.633000198557151
Lake,43,0,3450,110,Apr,2021,39.1,-122.75,49254.0,29714.0,11057.0,45.3,64276.0,48712.0,1583.0,2540.0,940.0,3234.0,13667.0,160.0,1256,51.17515923566879,171.13697180907337,0.0
Lassen,18,0,5275,30,Apr,2021,40.67,-120.59,56971.0,20928.0,2769.0,36.8,30600.0,24181.0,2713.0,794.0,471.0,1345.0,5893.0,26.0,4541,6.73860383175512,98.0392156862745,0.0
